uf,mes,ano,link
am,jun,2011,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/AM/am-jun-2011.xls
am,dez,2011,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/AM/am-dez-2011.xls
am,jun,2012,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/AM/am-jun-2012.xls
am,jun,2014,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/AM/am-jun-2014.xlsx
am,dez,2014,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/AM/am-dez-2014.xlsx
am,dez,2015,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/AM/am-dez-2015.xlsx
am,jun,2016,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/AM/am-jun-2016.xlsx
am,dez,2016,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/AM/am-dez-2016.xls
am,jun,2017,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/AM/am-jun-2017.xls
am,dez,2017,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/AM/am-dez-2017.xls
am,jun,2018,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/AM/am-jun-2018.xls
am,dez,2018,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/AM/am-dez-2018.xls
am,jun,2019,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/AM/am-jun-2019.xls
am,dez,2019,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/AM/am-dez-2019.xls
