uf,mes,ano,link
pb,jun,2011,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/PB/pb-jun-2011.xls
pb,dez,2011,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/PB/pb-dez-2011.xls
pb,jun,2012,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/PB/pb-jun-2012.xls
pb,jun,2014,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/PB/pb-jun-2014.xlsx
pb,dez,2014,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/PB/pb-dez-2014.xlsx
pb,dez,2015,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/PB/pb-dez-2015.xlsx
pb,jun,2016,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/PB/pb-jun-2016.xlsx
pb,dez,2016,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/PB/pb-dez-2016.xls
pb,jun,2017,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/PB/pb-jun-2017.xls
pb,dez,2017,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/PB/pb-dez-2017.xls
pb,jun,2018,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/PB/pb-jun-2018.xls
pb,dez,2018,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/PB/pb-dez-2018.xls
pb,jun,2019,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/PB/pb-jun-2019.xls
pb,dez,2019,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/PB/pb-dez-2019.xls
pb,jun,2019,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/PB/pb-jun-2019.xls
