uf,mes,ano,link
rn,jun,2011,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/RN/rn-jun-2011.xls
rn,dez,2011,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/RN/rn-dez-2011.xls
rn,jun,2012,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/RN/rn-jun-2012.xls
rn,jun,2014,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/RN/rn-jun-2014.xlsx
rn,dez,2014,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/RN/rn-dez-2014.xlsx
rn,dez,2015,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/RN/rn-dez-2015.xlsx
rn,jun,2016,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/RN/rn-jun-2016.xlsx
rn,dez,2016,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/RN/rn-dez-2016.xls
rn,jun,2017,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/RN/rn-jun-2017.xls
rn,dez,2017,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/RN/rn-dez-2017.xls
rn,jun,2018,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/RN/rn-jun-2018.xls
rn,dez,2018,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/RN/rn-dez-2018.xls
rn,jun,2019,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/RN/rn-jun-2019.xls
rn,dez,2019,https://www.gov.br/depen/pt-br/sisdepen/mais-informacoes/relatorios-infopen/relatorios-analiticos/RN/rn-dez-2019.xls
