level,masc,fem,total,uf,mes,ano,var
Consultas psicológicas,736,300,1036,ac,dez,2014,cons
Consultas psicológicas,212,0,212,ac,jun,2014,cons
Consultas psicológicas,918,3,921,ac,dez,2015,cons
Consultas psicológicas,214,15,229,ac,dez,2016,cons
Consultas psicológicas,317,6,323,ac,jun,2016,cons
Consultas psicológicas,1248,12,1260,ac,dez,2017,cons
Consultas psicológicas,2501,0,2501,ac,jun,2017,cons
Consultas psicológicas,860,2,862,ac,dez,2018,cons
Consultas psicológicas,649,1,650,ac,jun,2018,cons
Consultas psicológicas,641,1,642,ac,dez,2019,cons
Consultas psicológicas,536,2,538,ac,jun,2019,cons
Consultas psicológicas,489,23,512,ac,dez,2020,cons
Consultas psicológicas,307,0,307,ac,jun,2020,cons
Consultas psicológicas,2144,0,2144,al,dez,2014,cons
Consultas psicológicas,4584,937,5521,al,jun,2014,cons
Consultas psicológicas,8538,741,9279,al,dez,2015,cons
Consultas psicológicas,4270,38,4308,al,dez,2016,cons
Consultas psicológicas,3753,455,4208,al,jun,2016,cons
Consultas psicológicas,4585,310,4895,al,dez,2017,cons
Consultas psicológicas,4426,57,4483,al,jun,2017,cons
Consultas psicológicas,3530,144,3674,al,dez,2018,cons
Consultas psicológicas,3608,429,4037,al,jun,2018,cons
Consultas psicológicas,5083,337,5420,al,dez,2019,cons
Consultas psicológicas,5006,278,5284,al,jun,2019,cons
Consultas psicológicas,6095,172,6267,al,dez,2020,cons
Consultas psicológicas,3346,115,3461,al,jun,2020,cons
Consultas psicológicas,8085,304,8389,am,dez,2014,cons
Consultas psicológicas,8109,300,8409,am,jun,2014,cons
Consultas psicológicas,11128,396,11524,am,dez,2015,cons
Consultas psicológicas,4994,538,5532,am,dez,2016,cons
Consultas psicológicas,5672,428,6100,am,jun,2016,cons
Consultas psicológicas,3702,1449,5151,am,dez,2017,cons
Consultas psicológicas,7451,400,7851,am,jun,2017,cons
Consultas psicológicas,3444,962,4406,am,dez,2018,cons
Consultas psicológicas,4581,652,5233,am,jun,2018,cons
Consultas psicológicas,7763,1701,9464,am,dez,2019,cons
Consultas psicológicas,4090,1060,5150,am,jun,2019,cons
Consultas psicológicas,20693,2429,23122,am,dez,2020,cons
Consultas psicológicas,8770,668,9438,am,jun,2020,cons
Consultas psicológicas,563,291,854,ap,dez,2014,cons
Consultas psicológicas,284,236,520,ap,jun,2014,cons
Consultas psicológicas,84,393,477,ap,dez,2015,cons
Consultas psicológicas,8,0,8,ap,dez,2016,cons
Consultas psicológicas,41,30,71,ap,jun,2016,cons
Consultas psicológicas,14,229,243,ap,dez,2017,cons
Consultas psicológicas,8,158,166,ap,jun,2017,cons
Consultas psicológicas,29,184,213,ap,dez,2018,cons
Consultas psicológicas,35,196,231,ap,jun,2018,cons
Consultas psicológicas,21,198,219,ap,dez,2019,cons
Consultas psicológicas,24,185,209,ap,jun,2019,cons
Consultas psicológicas,1114,0,1114,ap,dez,2020,cons
Consultas psicológicas,20,33,53,ap,jun,2020,cons
Consultas psicológicas,13279,766,14045,ba,dez,2014,cons
Consultas psicológicas,10287,860,11147,ba,jun,2014,cons
Consultas psicológicas,22052,2833,24885,ba,dez,2015,cons
Consultas psicológicas,10459,1107,11566,ba,dez,2016,cons
Consultas psicológicas,13353,1410,14763,ba,jun,2016,cons
Consultas psicológicas,12335,1075,13410,ba,dez,2017,cons
Consultas psicológicas,12053,1105,13158,ba,jun,2017,cons
Consultas psicológicas,16579,1626,18205,ba,dez,2018,cons
Consultas psicológicas,14158,1550,15708,ba,jun,2018,cons
Consultas psicológicas,21988,2230,24218,ba,dez,2019,cons
Consultas psicológicas,20393,1770,22163,ba,jun,2019,cons
Consultas psicológicas,15768,1462,17230,ba,dez,2020,cons
Consultas psicológicas,12050,1145,13195,ba,jun,2020,cons
Consultas psicológicas,3707,898,4605,ce,dez,2014,cons
Consultas psicológicas,1190,0,1190,ce,jun,2014,cons
Consultas psicológicas,13011,212,13223,ce,dez,2015,cons
Consultas psicológicas,7932,594,8526,ce,dez,2016,cons
Consultas psicológicas,4009,238,4247,ce,jun,2016,cons
Consultas psicológicas,3868,229,4097,ce,dez,2017,cons
Consultas psicológicas,5260,326,5586,ce,jun,2017,cons
Consultas psicológicas,11587,364,11951,ce,dez,2018,cons
Consultas psicológicas,12800,457,13257,ce,jun,2018,cons
Consultas psicológicas,15270,1391,16661,ce,dez,2019,cons
Consultas psicológicas,17035,765,17800,ce,jun,2019,cons
Consultas psicológicas,18125,2456,20581,ce,dez,2020,cons
Consultas psicológicas,20307,1438,21745,ce,jun,2020,cons
Consultas psicológicas,1772,465,2237,df,dez,2014,cons
Consultas psicológicas,2093,632,2725,df,jun,2014,cons
Consultas psicológicas,3101,1397,4498,df,dez,2015,cons
Consultas psicológicas,3862,357,4219,df,dez,2016,cons
Consultas psicológicas,1507,428,1935,df,jun,2016,cons
Consultas psicológicas,2736,720,3456,df,dez,2017,cons
Consultas psicológicas,2837,725,3562,df,jun,2017,cons
Consultas psicológicas,2157,208,2365,df,dez,2018,cons
Consultas psicológicas,2328,410,2738,df,jun,2018,cons
Consultas psicológicas,3048,567,3615,df,dez,2019,cons
Consultas psicológicas,3211,413,3624,df,jun,2019,cons
Consultas psicológicas,2251,548,2799,df,dez,2020,cons
Consultas psicológicas,3437,508,3945,df,jun,2020,cons
Consultas psicológicas,19278,4096,23374,es,dez,2014,cons
Consultas psicológicas,14418,3427,17845,es,jun,2014,cons
Consultas psicológicas,9795,2764,12559,es,dez,2015,cons
Consultas psicológicas,13451,1893,15344,es,dez,2016,cons
Consultas psicológicas,7892,1601,9493,es,jun,2016,cons
Consultas psicológicas,13381,1215,14596,es,dez,2017,cons
Consultas psicológicas,13697,1904,15601,es,jun,2017,cons
Consultas psicológicas,15587,1660,17247,es,dez,2018,cons
Consultas psicológicas,13277,974,14251,es,jun,2018,cons
Consultas psicológicas,16498,2156,18654,es,dez,2019,cons
Consultas psicológicas,17908,2511,20419,es,jun,2019,cons
Consultas psicológicas,12727,1810,14537,es,dez,2020,cons
Consultas psicológicas,9561,1214,10775,es,jun,2020,cons
Consultas psicológicas,2023,398,2421,go,dez,2014,cons
Consultas psicológicas,1470,249,1719,go,jun,2014,cons
Consultas psicológicas,1360,195,1555,go,dez,2015,cons
Consultas psicológicas,1027,267,1294,go,dez,2016,cons
Consultas psicológicas,1161,192,1353,go,jun,2016,cons
Consultas psicológicas,2499,362,2861,go,dez,2017,cons
Consultas psicológicas,1131,98,1229,go,jun,2017,cons
Consultas psicológicas,3704,884,4588,go,dez,2018,cons
Consultas psicológicas,2061,304,2365,go,jun,2018,cons
Consultas psicológicas,3613,294,3907,go,dez,2019,cons
Consultas psicológicas,3813,197,4010,go,jun,2019,cons
Consultas psicológicas,4830,421,5251,go,dez,2020,cons
Consultas psicológicas,5146,264,5410,go,jun,2020,cons
Consultas psicológicas,1079,174,1253,ma,dez,2014,cons
Consultas psicológicas,3786,268,4054,ma,jun,2014,cons
Consultas psicológicas,2047,157,2204,ma,dez,2015,cons
Consultas psicológicas,4913,446,5359,ma,dez,2016,cons
Consultas psicológicas,2482,133,2615,ma,jun,2016,cons
Consultas psicológicas,0,0,0,ma,dez,2017,cons
Consultas psicológicas,0,0,0,ma,jun,2017,cons
Consultas psicológicas,0,0,0,ma,dez,2018,cons
Consultas psicológicas,0,0,0,ma,jun,2018,cons
Consultas psicológicas,26270,698,26968,ma,dez,2019,cons
Consultas psicológicas,0,0,0,ma,jun,2019,cons
Consultas psicológicas,22118,899,23017,ma,dez,2020,cons
Consultas psicológicas,28570,894,29464,ma,jun,2020,cons
Consultas psicológicas,39184,5478,44662,mg,dez,2014,cons
Consultas psicológicas,35974,5248,41222,mg,jun,2014,cons
Consultas psicológicas,70019,11085,81104,mg,dez,2015,cons
Consultas psicológicas,47498,4779,52277,mg,dez,2016,cons
Consultas psicológicas,37963,4585,42548,mg,jun,2016,cons
Consultas psicológicas,36568,5858,42426,mg,dez,2017,cons
Consultas psicológicas,44714,4808,49522,mg,jun,2017,cons
Consultas psicológicas,25873,5877,31750,mg,dez,2018,cons
Consultas psicológicas,25089,3090,28179,mg,jun,2018,cons
Consultas psicológicas,25654,3775,29429,mg,dez,2019,cons
Consultas psicológicas,32487,3392,35879,mg,jun,2019,cons
Consultas psicológicas,29709,2211,31920,mg,dez,2020,cons
Consultas psicológicas,22437,2496,24933,mg,jun,2020,cons
Consultas psicológicas,5429,755,6184,ms,dez,2014,cons
Consultas psicológicas,2023,1751,3774,ms,jun,2014,cons
Consultas psicológicas,7759,3562,11321,ms,dez,2015,cons
Consultas psicológicas,4339,804,5143,ms,dez,2016,cons
Consultas psicológicas,4294,1156,5450,ms,jun,2016,cons
Consultas psicológicas,3741,1021,4762,ms,dez,2017,cons
Consultas psicológicas,4495,538,5033,ms,jun,2017,cons
Consultas psicológicas,5898,396,6294,ms,dez,2018,cons
Consultas psicológicas,5427,404,5831,ms,jun,2018,cons
Consultas psicológicas,8620,1535,10155,ms,dez,2019,cons
Consultas psicológicas,4722,1483,6205,ms,jun,2019,cons
Consultas psicológicas,3193,1141,4334,ms,dez,2020,cons
Consultas psicológicas,5629,615,6244,ms,jun,2020,cons
Consultas psicológicas,2216,306,2522,mt,dez,2014,cons
Consultas psicológicas,796,330,1126,mt,jun,2014,cons
Consultas psicológicas,2942,1190,4132,mt,dez,2015,cons
Consultas psicológicas,3357,95,3452,mt,dez,2016,cons
Consultas psicológicas,2407,700,3107,mt,jun,2016,cons
Consultas psicológicas,1752,401,2153,mt,dez,2017,cons
Consultas psicológicas,1982,126,2108,mt,jun,2017,cons
Consultas psicológicas,2407,1048,3455,mt,dez,2018,cons
Consultas psicológicas,2933,748,3681,mt,jun,2018,cons
Consultas psicológicas,8154,726,8880,mt,dez,2019,cons
Consultas psicológicas,4639,737,5376,mt,jun,2019,cons
Consultas psicológicas,2821,708,3529,mt,dez,2020,cons
Consultas psicológicas,2757,652,3409,mt,jun,2020,cons
Consultas psicológicas,5104,1102,6206,pa,dez,2014,cons
Consultas psicológicas,8582,1377,9959,pa,jun,2014,cons
Consultas psicológicas,17448,1544,18992,pa,dez,2015,cons
Consultas psicológicas,10862,1513,12375,pa,dez,2016,cons
Consultas psicológicas,12173,724,12897,pa,jun,2016,cons
Consultas psicológicas,8450,386,8836,pa,dez,2017,cons
Consultas psicológicas,8432,448,8880,pa,jun,2017,cons
Consultas psicológicas,7087,1225,8312,pa,dez,2018,cons
Consultas psicológicas,7593,542,8135,pa,jun,2018,cons
Consultas psicológicas,6448,1319,7767,pa,dez,2019,cons
Consultas psicológicas,9053,1370,10423,pa,jun,2019,cons
Consultas psicológicas,7214,515,7729,pa,dez,2020,cons
Consultas psicológicas,11956,804,12760,pa,jun,2020,cons
Consultas psicológicas,3593,401,3994,pb,dez,2014,cons
Consultas psicológicas,2282,176,2458,pb,jun,2014,cons
Consultas psicológicas,8810,928,9738,pb,dez,2015,cons
Consultas psicológicas,3432,150,3582,pb,dez,2016,cons
Consultas psicológicas,3942,197,4139,pb,jun,2016,cons
