level,value,uf,mes,ano,var
População carcerária,4244,ac,dez,2014,pop
População carcerária por 100.000 habitantes,535.1308889300786,ac,dez,2014,pop
População carcerária,3488,ac,jun,2014,pop
População carcerária por 100.000 habitantes,441.46254719333353,ac,jun,2014,pop
População carcerária,4649,ac,dez,2015,pop
População carcerária por 100.000 habitantes,578.5842917289452,ac,dez,2015,pop
População carcerária,6100,ac,dez,2016,pop
População carcerária por 100.000 habitantes,759.2,ac,dez,2016,pop
População carcerária,5364,ac,jun,2016,pop
População carcerária por 100.000 habitantes,656.7999735516789,ac,jun,2016,pop
População carcerária,6551,ac,dez,2017,pop
População carcerária por 100.000 habitantes,789.6395815428529,ac,dez,2017,pop
População carcerária,6263,ac,jun,2017,pop
População carcerária por 100.000 habitantes,754.93,ac,jun,2017,pop
População carcerária,7914,ac,dez,2018,pop
População carcerária por 100.000 habitantes,910.4243239978603,ac,dez,2018,pop
População carcerária,7975,ac,jun,2018,pop
População carcerária por 100.000 habitantes,917.44174676307,ac,jun,2018,pop
População carcerária,8414,ac,dez,2019,pop
População carcerária por 100.000 habitantes,954.0385629326424,ac,dez,2019,pop
População carcerária,7345,ac,jun,2019,pop
População carcerária por 100.000 habitantes,832.827816108897,ac,jun,2019,pop
População carcerária,8074,ac,dez,2020,pop
População carcerária por 100.000 habitantes,902.6574396011046,ac,dez,2020,pop
População carcerária,7931,ac,jun,2020,pop
População carcerária por 100.000 habitantes,886.6703187362349,ac,jun,2020,pop
População carcerária,5920,al,dez,2014,pop
População carcerária por 100.000 habitantes,177.99158147925436,al,dez,2014,pop
População carcerária,5785,al,jun,2014,pop
População carcerária por 100.000 habitantes,174.1562378640046,al,jun,2014,pop
População carcerária,6703,al,dez,2015,pop
População carcerária por 100.000 habitantes,200.65846390752048,al,dez,2015,pop
População carcerária,7450,al,dez,2016,pop
População carcerária por 100.000 habitantes,223,al,dez,2016,pop
População carcerária,6957,al,jun,2016,pop
População carcerária por 100.000 habitantes,207.1443820460577,al,jun,2016,pop
População carcerária,8098,al,dez,2017,pop
População carcerária por 100.000 habitantes,239.88224501106842,al,dez,2017,pop
População carcerária,7421,al,jun,2017,pop
População carcerária por 100.000 habitantes,229.87,al,jun,2017,pop
População carcerária,8788,al,dez,2018,pop
