level,gen,Efetivo,Comissionado,Terceirizado,Temporário,total,uf,mes,ano,var
Psicólogos/as,Total,9,0,1,0,10,ac,dez,2014,psico
Médicos/as - psiquiatras,Total,2,0,0,0,2,ac,dez,2014,psico
Psicólogos/as,Total,8,0,1,0,9,ac,jun,2014,psico
Médicos/as - psiquiatras,Total,1,0,1,0,2,ac,jun,2014,psico
Psicólogos/as,Total,7,0,1,0,8,ac,dez,2015,psico
Médicos/as - psiquiatras,Total,1,0,1,1,3,ac,dez,2015,psico
Psicólogos/as,Total,7,0,0,0,7,ac,dez,2016,psico
Médicos/as - psiquiatras,Total,4,0,0,2,6,ac,dez,2016,psico
Psicólogos/as,Total,7,0,1,0,8,ac,jun,2016,psico
Médicos/as - psiquiatras,Total,1,0,1,1,3,ac,jun,2016,psico
Psicólogos/as,Total,7,0,0,2,9,ac,dez,2017,psico
Médicos/as - psiquiatras,Total,3,0,0,1,4,ac,dez,2017,psico
Psicólogos/as,Total,7,0,0,0,7,ac,jun,2017,psico
Médicos/as - psiquiatras,Total,2,0,0,0,2,ac,jun,2017,psico
Psicólogos/as,Total,5,0,1,1,7,ac,dez,2018,psico
Médicos/as - psiquiatras,Total,3,0,0,1,4,ac,dez,2018,psico
Psicólogos/as,Total,8,0,1,1,10,ac,jun,2018,psico
Médicos/as - psiquiatras,Total,6,0,0,0,6,ac,jun,2018,psico
Psicólogos/as,Total,5,0,0,2,7,ac,dez,2019,psico
Médicos/as - psiquiatras,Total,4,0,0,0,4,ac,dez,2019,psico
Psicólogos/as,Total,7,0,0,2,9,ac,jun,2019,psico
Médicos/as - psiquiatras,Total,4,0,0,0,4,ac,jun,2019,psico
Psicólogos/as,Total,3,0,0,2,5,ac,dez,2020,psico
Médicos/as - psiquiatras,Total,3,0,0,0,3,ac,dez,2020,psico
Psicólogos/as,Total,6,0,0,2,8,ac,jun,2020,psico
Médicos/as - psiquiatras,Total,5,0,0,0,5,ac,jun,2020,psico
Psicólogos/as,Total,2,0,3,9,14,al,dez,2014,psico
Médicos/as - psiquiatras,Total,1,1,1,1,4,al,dez,2014,psico
Psicólogos/as,Total,1,0,3,7,11,al,jun,2014,psico
Médicos/as - psiquiatras,Total,1,1,1,1,4,al,jun,2014,psico
Psicólogos/as,Total,1,0,3,11,15,al,dez,2015,psico
Médicos/as - psiquiatras,Total,1,1,1,3,6,al,dez,2015,psico
Psicólogos/as,Total,1,0,3,10,14,al,dez,2016,psico
Médicos/as - psiquiatras,Total,1,1,1,2,5,al,dez,2016,psico
Psicólogos/as,Total,1,0,3,11,15,al,jun,2016,psico
Médicos/as - psiquiatras,Total,1,1,1,3,6,al,jun,2016,psico
Psicólogos/as,Total,0,0,3,9,12,al,dez,2017,psico
Médicos/as - psiquiatras,Total,1,1,1,2,5,al,dez,2017,psico
Psicólogos/as,Total,1,0,2,13,16,al,jun,2017,psico
Médicos/as - psiquiatras,Total,1,1,1,0,3,al,jun,2017,psico
Psicólogos/as,Total,1,0,5,9,15,al,dez,2018,psico
Médicos/as - psiquiatras,Total,1,0,1,0,2,al,dez,2018,psico
Psicólogos/as,Total,1,0,3,14,18,al,jun,2018,psico
Médicos/as - psiquiatras,Total,1,1,1,2,5,al,jun,2018,psico
Psicólogos/as,Total,1,0,3,10,14,al,dez,2019,psico
Médicos/as - psiquiatras,Total,1,0,1,3,5,al,dez,2019,psico
Psicólogos/as,Total,1,0,3,12,16,al,jun,2019,psico
Médicos/as - psiquiatras,Total,1,0,1,3,5,al,jun,2019,psico
Psicólogos/as,Total,1,0,3,12,16,al,dez,2020,psico
Médicos/as - psiquiatras,Total,1,0,1,2,4,al,dez,2020,psico
Psicólogos/as,Total,1,0,3,11,15,al,jun,2020,psico
Médicos/as - psiquiatras,Total,1,0,1,3,5,al,jun,2020,psico
Psicólogos/as,Total,1,1,11,0,13,am,dez,2014,psico
Médicos/as - psiquiatras,Total,0,1,5,0,6,am,dez,2014,psico
Psicólogos/as,Total,3,1,11,0,15,am,jun,2014,psico
Médicos/as - psiquiatras,Total,1,1,4,0,6,am,jun,2014,psico
Psicólogos/as,Total,1,3,9,2,15,am,dez,2015,psico
Médicos/as - psiquiatras,Total,1,0,6,2,9,am,dez,2015,psico
Psicólogos/as,Total,2,1,10,0,13,am,dez,2016,psico
Médicos/as - psiquiatras,Total,1,1,5,1,8,am,dez,2016,psico
Psicólogos/as,Total,1,3,9,2,15,am,jun,2016,psico
Médicos/as - psiquiatras,Total,1,0,6,2,9,am,jun,2016,psico
Psicólogos/as,Total,1,0,14,1,16,am,dez,2017,psico
Médicos/as - psiquiatras,Total,1,0,7,0,8,am,dez,2017,psico
Psicólogos/as,Total,1,0,15,0,16,am,jun,2017,psico
Médicos/as - psiquiatras,Total,1,0,6,0,7,am,jun,2017,psico
Psicólogos/as,Total,1,0,18,0,19,am,dez,2018,psico
Médicos/as - psiquiatras,Total,0,0,9,0,9,am,dez,2018,psico
Psicólogos/as,Total,1,0,18,1,20,am,jun,2018,psico
Médicos/as - psiquiatras,Total,1,0,9,0,10,am,jun,2018,psico
Psicólogos/as,Total,1,0,18,1,20,am,dez,2019,psico
Médicos/as - psiquiatras,Total,1,1,8,0,10,am,dez,2019,psico
Psicólogos/as,Total,0,0,16,2,18,am,jun,2019,psico
Médicos/as - psiquiatras,Total,0,0,9,1,10,am,jun,2019,psico
Psicólogos/as,Total,0,2,22,1,25,am,dez,2020,psico
Médicos/as - psiquiatras,Total,0,2,12,0,14,am,dez,2020,psico
Psicólogos/as,Total,0,2,16,2,20,am,jun,2020,psico
Médicos/as - psiquiatras,Total,0,2,7,0,9,am,jun,2020,psico
Psicólogos/as,Total,7,0,0,0,7,ap,dez,2014,psico
Médicos/as - psiquiatras,Total,2,0,0,0,2,ap,dez,2014,psico
Psicólogos/as,Total,17,6,0,0,23,ap,jun,2014,psico
Médicos/as - psiquiatras,Total,0,1,1,0,2,ap,jun,2014,psico
Psicólogos/as,Total,7,4,0,0,11,ap,dez,2015,psico
Médicos/as - psiquiatras,Total,0,2,0,0,2,ap,dez,2015,psico
Psicólogos/as,Total,11,0,0,6,17,ap,dez,2016,psico
Médicos/as - psiquiatras,Total,0,0,0,2,2,ap,dez,2016,psico
Psicólogos/as,Total,7,4,0,0,11,ap,jun,2016,psico
Médicos/as - psiquiatras,Total,0,2,0,0,2,ap,jun,2016,psico
Psicólogos/as,Total,3,0,0,0,3,ap,dez,2017,psico
Médicos/as - psiquiatras,Total,0,0,0,1,1,ap,dez,2017,psico
Psicólogos/as,Total,11,0,0,5,16,ap,jun,2017,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,ap,jun,2017,psico
Psicólogos/as,Total,4,0,0,0,4,ap,dez,2018,psico
Médicos/as - psiquiatras,Total,0,0,0,1,1,ap,dez,2018,psico
Psicólogos/as,Total,4,0,0,0,4,ap,jun,2018,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,ap,jun,2018,psico
Psicólogos/as,Total,1,0,0,1,2,ap,dez,2019,psico
Médicos/as - psiquiatras,Total,1,0,0,0,1,ap,dez,2019,psico
Psicólogos/as,Total,0,0,0,1,1,ap,jun,2019,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,ap,jun,2019,psico
Psicólogos/as,Total,3,0,1,1,5,ap,dez,2020,psico
Médicos/as - psiquiatras,Total,1,0,0,0,1,ap,dez,2020,psico
Psicólogos/as,Total,3,0,0,1,4,ap,jun,2020,psico
Médicos/as - psiquiatras,Total,1,0,0,0,1,ap,jun,2020,psico
Psicólogos/as,Total,18,3,10,25,56,ba,dez,2014,psico
