level,masc,fem,total,uf,mes,ano,var
Óbitos naturais/ óbitos por motivos de saúde,1,0,1,ac,dez,2014,suic
Óbitos criminais,4,0,4,ac,dez,2014,suic
Óbitos suicídios,2,0,2,ac,dez,2014,suic
Óbitos acidentais,0,0,0,ac,dez,2014,suic
Óbitos com causa desconhecida,0,0,0,ac,dez,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,3,0,3,ac,jun,2014,suic
Óbitos criminais,0,0,0,ac,jun,2014,suic
Óbitos suicídios,0,0,0,ac,jun,2014,suic
Óbitos acidentais,0,0,0,ac,jun,2014,suic
Óbitos com causa desconhecida,0,0,0,ac,jun,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,3,0,3,ac,dez,2015,suic
Óbitos criminais,11,0,11,ac,dez,2015,suic
Óbitos suicídios,0,0,0,ac,dez,2015,suic
Óbitos acidentais,0,0,0,ac,dez,2015,suic
Óbitos com causa desconhecida,1,0,1,ac,dez,2015,suic
Óbitos naturais/ óbitos por motivos de saúde,2,0,2,ac,dez,2016,suic
Óbitos criminais,13,0,13,ac,dez,2016,suic
Óbitos suicídios,1,0,1,ac,dez,2016,suic
Óbitos acidentais,0,0,0,ac,dez,2016,suic
Óbitos com causa desconhecida,1,0,1,ac,dez,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,0,0,0,ac,jun,2016,suic
Óbitos criminais,3,0,3,ac,jun,2016,suic
Óbitos suicídios,0,0,0,ac,jun,2016,suic
Óbitos acidentais,0,0,0,ac,jun,2016,suic
Óbitos com causa desconhecida,0,0,0,ac,jun,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,0,0,0,ac,dez,2017,suic
Óbitos criminais,7,0,7,ac,dez,2017,suic
Óbitos suicídios,0,0,0,ac,dez,2017,suic
Óbitos acidentais,0,0,0,ac,dez,2017,suic
Óbitos com causa desconhecida,5,0,5,ac,dez,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,0,0,0,ac,jun,2017,suic
Óbitos criminais,9,0,9,ac,jun,2017,suic
Óbitos suicídios,0,0,0,ac,jun,2017,suic
Óbitos acidentais,1,0,1,ac,jun,2017,suic
Óbitos com causa desconhecida,0,0,0,ac,jun,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,1,0,1,ac,dez,2018,suic
Óbitos criminais,3,0,3,ac,dez,2018,suic
Óbitos suicídios,1,0,1,ac,dez,2018,suic
Óbitos acidentais,0,0,0,ac,dez,2018,suic
Óbitos com causa desconhecida,0,0,0,ac,dez,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,2,0,2,ac,jun,2018,suic
Óbitos criminais,8,0,8,ac,jun,2018,suic
Óbitos suicídios,0,0,0,ac,jun,2018,suic
Óbitos acidentais,0,0,0,ac,jun,2018,suic
Óbitos com causa desconhecida,0,0,0,ac,jun,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,3,0,3,ac,dez,2019,suic
Óbitos criminais,1,0,1,ac,dez,2019,suic
Óbitos suicídios,1,0,1,ac,dez,2019,suic
Óbitos acidentais,0,0,0,ac,dez,2019,suic
Óbitos com causa desconhecida,0,0,0,ac,dez,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,2,25,27,ac,jun,2019,suic
Óbitos criminais,5,0,5,ac,jun,2019,suic
Óbitos suicídios,0,0,0,ac,jun,2019,suic
Óbitos acidentais,0,0,0,ac,jun,2019,suic
Óbitos com causa desconhecida,0,0,0,ac,jun,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,7,0,7,ac,dez,2020,suic
Óbitos criminais,4,0,4,ac,dez,2020,suic
Óbitos suicídios,0,0,0,ac,dez,2020,suic
Óbitos acidentais,1,0,1,ac,dez,2020,suic
Óbitos com causa desconhecida,0,0,0,ac,dez,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,4,0,4,ac,jun,2020,suic
Óbitos criminais,10,0,10,ac,jun,2020,suic
Óbitos suicídios,0,0,0,ac,jun,2020,suic
Óbitos acidentais,0,0,0,ac,jun,2020,suic
Óbitos com causa desconhecida,2,0,2,ac,jun,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,7,0,7,al,dez,2014,suic
Óbitos criminais,1,0,1,al,dez,2014,suic
Óbitos suicídios,0,0,0,al,dez,2014,suic
Óbitos acidentais,0,0,0,al,dez,2014,suic
Óbitos com causa desconhecida,0,0,0,al,dez,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,1,0,1,al,jun,2014,suic
Óbitos criminais,12,0,12,al,jun,2014,suic
Óbitos suicídios,1,0,1,al,jun,2014,suic
Óbitos acidentais,0,0,0,al,jun,2014,suic
Óbitos com causa desconhecida,0,0,0,al,jun,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,11,0,11,al,dez,2015,suic
Óbitos criminais,3,0,3,al,dez,2015,suic
Óbitos suicídios,0,1,1,al,dez,2015,suic
Óbitos acidentais,0,0,0,al,dez,2015,suic
Óbitos com causa desconhecida,0,0,0,al,dez,2015,suic
Óbitos naturais/ óbitos por motivos de saúde,8,0,8,al,dez,2016,suic
Óbitos criminais,3,0,3,al,dez,2016,suic
Óbitos suicídios,1,0,1,al,dez,2016,suic
Óbitos acidentais,1,0,1,al,dez,2016,suic
Óbitos com causa desconhecida,0,0,0,al,dez,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,2,0,2,al,jun,2016,suic
Óbitos criminais,3,0,3,al,jun,2016,suic
Óbitos suicídios,0,0,0,al,jun,2016,suic
Óbitos acidentais,0,0,0,al,jun,2016,suic
Óbitos com causa desconhecida,0,0,0,al,jun,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,2,0,2,al,dez,2017,suic
Óbitos criminais,4,0,4,al,dez,2017,suic
Óbitos suicídios,0,0,0,al,dez,2017,suic
Óbitos acidentais,0,0,0,al,dez,2017,suic
Óbitos com causa desconhecida,0,0,0,al,dez,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,6,0,6,al,jun,2017,suic
Óbitos criminais,5,0,5,al,jun,2017,suic
Óbitos suicídios,1,0,1,al,jun,2017,suic
Óbitos acidentais,0,0,0,al,jun,2017,suic
Óbitos com causa desconhecida,0,0,0,al,jun,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,1,0,1,al,dez,2018,suic
Óbitos criminais,3,0,3,al,dez,2018,suic
Óbitos suicídios,1,0,1,al,dez,2018,suic
Óbitos acidentais,1,0,1,al,dez,2018,suic
Óbitos com causa desconhecida,0,0,0,al,dez,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,2,0,2,al,jun,2018,suic
Óbitos criminais,3,0,3,al,jun,2018,suic
Óbitos suicídios,1,0,1,al,jun,2018,suic
Óbitos acidentais,0,0,0,al,jun,2018,suic
Óbitos com causa desconhecida,0,0,0,al,jun,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,5,0,5,al,dez,2019,suic
Óbitos criminais,2,0,2,al,dez,2019,suic
Óbitos suicídios,0,0,0,al,dez,2019,suic
Óbitos acidentais,0,0,0,al,dez,2019,suic
Óbitos com causa desconhecida,0,0,0,al,dez,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,6,0,6,al,jun,2019,suic
Óbitos criminais,1,0,1,al,jun,2019,suic
Óbitos suicídios,0,0,0,al,jun,2019,suic
